"Cat","year","geography","FIPS_code","geo_type","geo_full_name","geo_abbreviation","cat","age","eligible90"
"CN","2013","Maryland",24,"state","Maryland","MD","CN","< 1","30873"
"CN","2013","Maryland",24,"state","Maryland","MD","CN","1--2","76148"
"CN","2013","Maryland",24,"state","Maryland","MD","CN","3--5","112608"
"CN","2013","Maryland",24,"state","Maryland","MD","CN","6--9","133976"
"CN","2013","Maryland",24,"state","Maryland","MD","CN","10--14","140464"
"CN","2013","Maryland",24,"state","Maryland","MD","CN","15--18","97259"
"CN","2013","Maryland",24,"state","Maryland","MD","CN","19--20","40617"
"MN","2013","Maryland",24,"state","Maryland","MD","MN","< 1","9"
"MN","2013","Maryland",24,"state","Maryland","MD","MN","1--2","47"
"MN","2013","Maryland",24,"state","Maryland","MD","MN","3--5","79"
"MN","2013","Maryland",24,"state","Maryland","MD","MN","6--9","120"
"MN","2013","Maryland",24,"state","Maryland","MD","MN","10--14","152"
"MN","2013","Maryland",24,"state","Maryland","MD","MN","15--18","146"
"MN","2013","Maryland",24,"state","Maryland","MD","MN","19--20","335"
"Total","2013","Maryland",24,"state","Maryland","MD","Total","< 1","30882"
"Total","2013","Maryland",24,"state","Maryland","MD","Total","1--2","76195"
"Total","2013","Maryland",24,"state","Maryland","MD","Total","3--5","112687"
"Total","2013","Maryland",24,"state","Maryland","MD","Total","6--9","134096"
"Total","2013","Maryland",24,"state","Maryland","MD","Total","10--14","140616"
"Total","2013","Maryland",24,"state","Maryland","MD","Total","15--18","97405"
"Total","2013","Maryland",24,"state","Maryland","MD","Total","19--20","40952"
"CN","2013","Maine",23,"state","Maine","ME","CN","< 1","5877"
"CN","2013","Maine",23,"state","Maine","ME","CN","1--2","14463"
"CN","2013","Maine",23,"state","Maine","ME","CN","3--5","21687"
"CN","2013","Maine",23,"state","Maine","ME","CN","6--9","27879"
"CN","2013","Maine",23,"state","Maine","ME","CN","10--14","31447"
"CN","2013","Maine",23,"state","Maine","ME","CN","15--18","23667"
"CN","2013","Maine",23,"state","Maine","ME","CN","19--20","11203"
"MN","2013","Maine",23,"state","Maine","ME","MN","< 1","23"
"MN","2013","Maine",23,"state","Maine","ME","MN","1--2","63"
"MN","2013","Maine",23,"state","Maine","ME","MN","3--5","120"
"MN","2013","Maine",23,"state","Maine","ME","MN","6--9","175"
"MN","2013","Maine",23,"state","Maine","ME","MN","10--14","221"
"MN","2013","Maine",23,"state","Maine","ME","MN","15--18","308"
"MN","2013","Maine",23,"state","Maine","ME","MN","19--20","1768"
"Total","2013","Maine",23,"state","Maine","ME","Total","< 1","5900"
"Total","2013","Maine",23,"state","Maine","ME","Total","1--2","14526"
"Total","2013","Maine",23,"state","Maine","ME","Total","3--5","21807"
"Total","2013","Maine",23,"state","Maine","ME","Total","6--9","28054"
"Total","2013","Maine",23,"state","Maine","ME","Total","10--14","31668"
"Total","2013","Maine",23,"state","Maine","ME","Total","15--18","23975"
"Total","2013","Maine",23,"state","Maine","ME","Total","19--20","12971"
"CN","2013","Louisiana",22,"state","Louisiana","LA","CN","< 1","36364"
"CN","2013","Louisiana",22,"state","Louisiana","LA","CN","1--2","88756"
"CN","2013","Louisiana",22,"state","Louisiana","LA","CN","3--5","135184"
"CN","2013","Louisiana",22,"state","Louisiana","LA","CN","6--9","168971"
"CN","2013","Louisiana",22,"state","Louisiana","LA","CN","10--14","188617"
"CN","2013","Louisiana",22,"state","Louisiana","LA","CN","15--18","133938"
"CN","2013","Louisiana",22,"state","Louisiana","LA","CN","19--20","41867"
"MN","2013","Louisiana",22,"state","Louisiana","LA","MN","< 1","13"
"MN","2013","Louisiana",22,"state","Louisiana","LA","MN","1--2","25"
"MN","2013","Louisiana",22,"state","Louisiana","LA","MN","3--5","37"
"MN","2013","Louisiana",22,"state","Louisiana","LA","MN","6--9","77"
"MN","2013","Louisiana",22,"state","Louisiana","LA","MN","10--14","68"
"MN","2013","Louisiana",22,"state","Louisiana","LA","MN","15--18","56"
"MN","2013","Louisiana",22,"state","Louisiana","LA","MN","19--20","74"
"Total","2013","Louisiana",22,"state","Louisiana","LA","Total","< 1","36377"
"Total","2013","Louisiana",22,"state","Louisiana","LA","Total","1--2","88781"
"Total","2013","Louisiana",22,"state","Louisiana","LA","Total","3--5","135221"
"Total","2013","Louisiana",22,"state","Louisiana","LA","Total","6--9","169048"
"Total","2013","Louisiana",22,"state","Louisiana","LA","Total","10--14","188685"
"Total","2013","Louisiana",22,"state","Louisiana","LA","Total","15--18","133994"
"Total","2013","Louisiana",22,"state","Louisiana","LA","Total","19--20","41941"
"CN","2013","Kentucky",21,"state","Kentucky","KY","CN","< 1","26119"
"CN","2013","Kentucky",21,"state","Kentucky","KY","CN","1--2","58982"
"CN","2013","Kentucky",21,"state","Kentucky","KY","CN","3--5","84090"
"CN","2013","Kentucky",21,"state","Kentucky","KY","CN","6--9","103706"
"CN","2013","Kentucky",21,"state","Kentucky","KY","CN","10--14","112366"
"CN","2013","Kentucky",21,"state","Kentucky","KY","CN","15--18","76429"
"CN","2013","Kentucky",21,"state","Kentucky","KY","CN","19--20","19288"
"MN","2013","Kentucky",21,"state","Kentucky","KY","MN","< 1","937"
"MN","2013","Kentucky",21,"state","Kentucky","KY","MN","1--2","4563"
"MN","2013","Kentucky",21,"state","Kentucky","KY","MN","3--5","7430"
"MN","2013","Kentucky",21,"state","Kentucky","KY","MN","6--9","8368"
"MN","2013","Kentucky",21,"state","Kentucky","KY","MN","10--14","8133"
"MN","2013","Kentucky",21,"state","Kentucky","KY","MN","15--18","5890"
"MN","2013","Kentucky",21,"state","Kentucky","KY","MN","19--20","989"
"Total","2013","Kentucky",21,"state","Kentucky","KY","Total","< 1","27056"
"Total","2013","Kentucky",21,"state","Kentucky","KY","Total","1--2","63545"
"Total","2013","Kentucky",21,"state","Kentucky","KY","Total","3--5","91520"
"Total","2013","Kentucky",21,"state","Kentucky","KY","Total","6--9","112074"
"Total","2013","Kentucky",21,"state","Kentucky","KY","Total","10--14","120499"
"Total","2013","Kentucky",21,"state","Kentucky","KY","Total","15--18","82319"
"Total","2013","Kentucky",21,"state","Kentucky","KY","Total","19--20","20277"
"CN","2013","Kansas",20,"state","Kansas","KS","CN","< 1","14880"
"CN","2013","Kansas",20,"state","Kansas","KS","CN","1--2","37099"
"CN","2013","Kansas",20,"state","Kansas","KS","CN","3--5","53449"
"CN","2013","Kansas",20,"state","Kansas","KS","CN","6--9","56913"
"CN","2013","Kansas",20,"state","Kansas","KS","CN","10--14","54319"
"CN","2013","Kansas",20,"state","Kansas","KS","CN","15--18","34117"
"CN","2013","Kansas",20,"state","Kansas","KS","CN","19--20","10022"
"MN","2013","Kansas",20,"state","Kansas","KS","MN","< 1","7"
"MN","2013","Kansas",20,"state","Kansas","KS","MN","1--2","2"
"MN","2013","Kansas",20,"state","Kansas","KS","MN","3--5","8"
"MN","2013","Kansas",20,"state","Kansas","KS","MN","6--9","12"
"MN","2013","Kansas",20,"state","Kansas","KS","MN","10--14","14"
"MN","2013","Kansas",20,"state","Kansas","KS","MN","15--18","15"
"MN","2013","Kansas",20,"state","Kansas","KS","MN","19--20","25"
"Total","2013","Kansas",20,"state","Kansas","KS","Total","< 1","14887"
"Total","2013","Kansas",20,"state","Kansas","KS","Total","1--2","37101"
"Total","2013","Kansas",20,"state","Kansas","KS","Total","3--5","53457"
"Total","2013","Kansas",20,"state","Kansas","KS","Total","6--9","56925"
"Total","2013","Kansas",20,"state","Kansas","KS","Total","10--14","54333"
"Total","2013","Kansas",20,"state","Kansas","KS","Total","15--18","34132"
"Total","2013","Kansas",20,"state","Kansas","KS","Total","19--20","10047"
"CN","2013","Iowa",19,"state","Iowa","IA","CN","< 1","16396"
"CN","2013","Iowa",19,"state","Iowa","IA","CN","1--2","38118"
"CN","2013","Iowa",19,"state","Iowa","IA","CN","3--5","53565"
"CN","2013","Iowa",19,"state","Iowa","IA","CN","6--9","65553"
"CN","2013","Iowa",19,"state","Iowa","IA","CN","10--14","66267"
"CN","2013","Iowa",19,"state","Iowa","IA","CN","15--18","44737"
"CN","2013","Iowa",19,"state","Iowa","IA","CN","19--20","17327"
"MN","2013","Iowa",19,"state","Iowa","IA","MN","< 1","0"
"MN","2013","Iowa",19,"state","Iowa","IA","MN","1--2","2"
"MN","2013","Iowa",19,"state","Iowa","IA","MN","3--5","5"
"MN","2013","Iowa",19,"state","Iowa","IA","MN","6--9","3"
"MN","2013","Iowa",19,"state","Iowa","IA","MN","10--14","8"
"MN","2013","Iowa",19,"state","Iowa","IA","MN","15--18","14"
"MN","2013","Iowa",19,"state","Iowa","IA","MN","19--20","317"
"Total","2013","Iowa",19,"state","Iowa","IA","Total","< 1","16396"
"Total","2013","Iowa",19,"state","Iowa","IA","Total","1--2","38120"
"Total","2013","Iowa",19,"state","Iowa","IA","Total","3--5","53570"
"Total","2013","Iowa",19,"state","Iowa","IA","Total","6--9","65556"
"Total","2013","Iowa",19,"state","Iowa","IA","Total","10--14","66275"
"Total","2013","Iowa",19,"state","Iowa","IA","Total","15--18","44751"
"Total","2013","Iowa",19,"state","Iowa","IA","Total","19--20","17644"
"CN","2013","Indiana",18,"state","Indiana","IN","CN","< 1","38825"
"CN","2013","Indiana",18,"state","Indiana","IN","CN","1--2","76621"
"CN","2013","Indiana",18,"state","Indiana","IN","CN","3--5","112406"
"CN","2013","Indiana",18,"state","Indiana","IN","CN","6--9","140137"
"CN","2013","Indiana",18,"state","Indiana","IN","CN","10--14","148647"
"CN","2013","Indiana",18,"state","Indiana","IN","CN","15--18","94996"
"CN","2013","Indiana",18,"state","Indiana","IN","CN","19--20","17425"
"MN","2013","Indiana",18,"state","Indiana","IN","MN","< 1","0"
"MN","2013","Indiana",18,"state","Indiana","IN","MN","1--2","0"
"MN","2013","Indiana",18,"state","Indiana","IN","MN","3--5","0"
"MN","2013","Indiana",18,"state","Indiana","IN","MN","6--9","0"
"MN","2013","Indiana",18,"state","Indiana","IN","MN","10--14","0"
"MN","2013","Indiana",18,"state","Indiana","IN","MN","15--18","0"
"MN","2013","Indiana",18,"state","Indiana","IN","MN","19--20","0"
"Total","2013","Indiana",18,"state","Indiana","IN","Total","< 1","38825"
"Total","2013","Indiana",18,"state","Indiana","IN","Total","1--2","76621"
"Total","2013","Indiana",18,"state","Indiana","IN","Total","3--5","112406"
"Total","2013","Indiana",18,"state","Indiana","IN","Total","6--9","140137"
"Total","2013","Indiana",18,"state","Indiana","IN","Total","10--14","148647"
"Total","2013","Indiana",18,"state","Indiana","IN","Total","15--18","94996"
"Total","2013","Indiana",18,"state","Indiana","IN","Total","19--20","17425"
"CN","2013","Illinois",17,"state","Illinois","IL","CN","< 1","55931"
"CN","2013","Illinois",17,"state","Illinois","IL","CN","1--2","166180"
"CN","2013","Illinois",17,"state","Illinois","IL","CN","3--5","285721"
"CN","2013","Illinois",17,"state","Illinois","IL","CN","6--9","367297"
"CN","2013","Illinois",17,"state","Illinois","IL","CN","10--14","394247"
"CN","2013","Illinois",17,"state","Illinois","IL","CN","15--18","273581"
"CN","2013","Illinois",17,"state","Illinois","IL","CN","19--20","74952"
"MN","2013","Illinois",17,"state","Illinois","IL","MN","< 1","19"
"MN","2013","Illinois",17,"state","Illinois","IL","MN","1--2","341"
"MN","2013","Illinois",17,"state","Illinois","IL","MN","3--5","929"
"MN","2013","Illinois",17,"state","Illinois","IL","MN","6--9","1559"
"MN","2013","Illinois",17,"state","Illinois","IL","MN","10--14","1962"
"MN","2013","Illinois",17,"state","Illinois","IL","MN","15--18","1225"
"MN","2013","Illinois",17,"state","Illinois","IL","MN","19--20","93"
"Total","2013","Illinois",17,"state","Illinois","IL","Total","< 1","55950"
"Total","2013","Illinois",17,"state","Illinois","IL","Total","1--2","166521"
"Total","2013","Illinois",17,"state","Illinois","IL","Total","3--5","286650"
"Total","2013","Illinois",17,"state","Illinois","IL","Total","6--9","368856"
"Total","2013","Illinois",17,"state","Illinois","IL","Total","10--14","396209"
"Total","2013","Illinois",17,"state","Illinois","IL","Total","15--18","274806"
"Total","2013","Illinois",17,"state","Illinois","IL","Total","19--20","75045"
"CN","2013","Idaho",16,"state","Idaho","ID","CN","< 1","12106"
"CN","2013","Idaho",16,"state","Idaho","ID","CN","1--2","24037"
"CN","2013","Idaho",16,"state","Idaho","ID","CN","3--5","34641"
"CN","2013","Idaho",16,"state","Idaho","ID","CN","6--9","42807"
"CN","2013","Idaho",16,"state","Idaho","ID","CN","10--14","43732"
"CN","2013","Idaho",16,"state","Idaho","ID","CN","15--18","28657"
"CN","2013","Idaho",16,"state","Idaho","ID","CN","19--20","7169"
"MN","2013","Idaho",16,"state","Idaho","ID","MN","< 1","0"
"MN","2013","Idaho",16,"state","Idaho","ID","MN","1--2","0"
"MN","2013","Idaho",16,"state","Idaho","ID","MN","3--5","0"
"MN","2013","Idaho",16,"state","Idaho","ID","MN","6--9","0"
"MN","2013","Idaho",16,"state","Idaho","ID","MN","10--14","0"
"MN","2013","Idaho",16,"state","Idaho","ID","MN","15--18","0"
"MN","2013","Idaho",16,"state","Idaho","ID","MN","19--20","0"
"Total","2013","Idaho",16,"state","Idaho","ID","Total","< 1","12106"
"Total","2013","Idaho",16,"state","Idaho","ID","Total","1--2","24037"
"Total","2013","Idaho",16,"state","Idaho","ID","Total","3--5","34641"
"Total","2013","Idaho",16,"state","Idaho","ID","Total","6--9","42807"
"Total","2013","Idaho",16,"state","Idaho","ID","Total","10--14","43732"
"Total","2013","Idaho",16,"state","Idaho","ID","Total","15--18","28657"
"Total","2013","Idaho",16,"state","Idaho","ID","Total","19--20","7169"
"CN","2013","Hawaii",15,"state","Hawaii","HI","CN","< 1","6271"
"CN","2013","Hawaii",15,"state","Hawaii","HI","CN","1--2","17902"
"CN","2013","Hawaii",15,"state","Hawaii","HI","CN","3--5","26566"
"CN","2013","Hawaii",15,"state","Hawaii","HI","CN","6--9","32491"
"CN","2013","Hawaii",15,"state","Hawaii","HI","CN","10--14","35247"
"CN","2013","Hawaii",15,"state","Hawaii","HI","CN","15--18","25090"
"CN","2013","Hawaii",15,"state","Hawaii","HI","CN","19--20","8860"
"MN","2013","Hawaii",15,"state","Hawaii","HI","MN","< 1","0"
"MN","2013","Hawaii",15,"state","Hawaii","HI","MN","1--2","0"
"MN","2013","Hawaii",15,"state","Hawaii","HI","MN","3--5","0"
"MN","2013","Hawaii",15,"state","Hawaii","HI","MN","6--9","0"
"MN","2013","Hawaii",15,"state","Hawaii","HI","MN","10--14","0"
"MN","2013","Hawaii",15,"state","Hawaii","HI","MN","15--18","0"
"MN","2013","Hawaii",15,"state","Hawaii","HI","MN","19--20","0"
"Total","2013","Hawaii",15,"state","Hawaii","HI","Total","< 1","6271"
"Total","2013","Hawaii",15,"state","Hawaii","HI","Total","1--2","17902"
"Total","2013","Hawaii",15,"state","Hawaii","HI","Total","3--5","26566"
"Total","2013","Hawaii",15,"state","Hawaii","HI","Total","6--9","32491"
"Total","2013","Hawaii",15,"state","Hawaii","HI","Total","10--14","35247"
"Total","2013","Hawaii",15,"state","Hawaii","HI","Total","15--18","25090"
"Total","2013","Hawaii",15,"state","Hawaii","HI","Total","19--20","8860"
"CN","2013","Georgia",13,"state","Georgia","GA","CN","< 1","63129"
"CN","2013","Georgia",13,"state","Georgia","GA","CN","1--2","158955"
"CN","2013","Georgia",13,"state","Georgia","GA","CN","3--5","219968"
"CN","2013","Georgia",13,"state","Georgia","GA","CN","6--9","251470"
"CN","2013","Georgia",13,"state","Georgia","GA","CN","10--14","252595"
"CN","2013","Georgia",13,"state","Georgia","GA","CN","15--18","160054"
"CN","2013","Georgia",13,"state","Georgia","GA","CN","19--20","41057"
"MN","2013","Georgia",13,"state","Georgia","GA","MN","< 1","2"
"MN","2013","Georgia",13,"state","Georgia","GA","MN","1--2","2"
"MN","2013","Georgia",13,"state","Georgia","GA","MN","3--5","0"
"MN","2013","Georgia",13,"state","Georgia","GA","MN","6--9","8"
"MN","2013","Georgia",13,"state","Georgia","GA","MN","10--14","7"
"MN","2013","Georgia",13,"state","Georgia","GA","MN","15--18","8"
"MN","2013","Georgia",13,"state","Georgia","GA","MN","19--20","4"
"Total","2013","Georgia",13,"state","Georgia","GA","Total","< 1","63131"
"Total","2013","Georgia",13,"state","Georgia","GA","Total","1--2","158957"
"Total","2013","Georgia",13,"state","Georgia","GA","Total","3--5","219968"
"Total","2013","Georgia",13,"state","Georgia","GA","Total","6--9","251478"
"Total","2013","Georgia",13,"state","Georgia","GA","Total","10--14","252602"
"Total","2013","Georgia",13,"state","Georgia","GA","Total","15--18","160062"
"Total","2013","Georgia",13,"state","Georgia","GA","Total","19--20","41061"
"CN","2013","Florida",12,"state","Florida","FL","CN","< 1","115252"
"CN","2013","Florida",12,"state","Florida","FL","CN","1--2","276155"
"CN","2013","Florida",12,"state","Florida","FL","CN","3--5","391184"
"CN","2013","Florida",12,"state","Florida","FL","CN","6--9","452500"
"CN","2013","Florida",12,"state","Florida","FL","CN","10--14","462976"
"CN","2013","Florida",12,"state","Florida","FL","CN","15--18","315469"
"CN","2013","Florida",12,"state","Florida","FL","CN","19--20","94525"
"MN","2013","Florida",12,"state","Florida","FL","MN","< 1","266"
